timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1582757638861,12385,JUnit Request,1000,Test successful,ZeroThread 2-1,text,true,,0,0,5,10,null,0,0,0
1582757638492,12798,JUnit Request,1000,Test successful,ZaoThread 1-2,text,true,,0,0,5,9,null,0,0,0
1582757638731,12965,JUnit Request,1000,Test successful,ZaoThread 1-4,text,true,,0,0,4,8,null,0,0,0
1582757638843,14372,JUnit Request,1000,Test successful,ZeroThread 2-4,text,true,,0,0,4,7,null,0,0,0
1582757638493,14777,JUnit Request,1000,Test successful,ZaoThread 1-1,text,true,,0,0,3,6,null,0,0,0
1582757638587,18034,JUnit Request,1000,Test successful,ZeroThread 2-3,text,true,,0,0,3,5,null,0,0,0
1582757638710,18067,JUnit Request,1000,Test successful,ZaoThread 1-5,text,true,,0,0,2,4,null,0,0,0
1582757638533,19463,JUnit Request,1000,Test successful,ZeroThread 2-2,text,true,,0,0,2,3,null,0,0,0
1582757638462,19572,JUnit Request,1000,Test successful,ZaoThread 1-3,text,true,,0,0,1,2,null,0,0,0
1582757639194,19013,JUnit Request,1000,Test successful,ZeroThread 2-5,text,true,,0,0,1,1,null,0,0,0
